Category,Chemical_Name,Primary_Function,CAS,Synonyms,Supplier,Grade,Catalog_No,Lot_No,Counter_Ion_or_Form,Assay_or_Purity_%,Moisture_%,Endotoxin_EU_per_mg,Bioburden_CFU_per_g,DDA_%(Chitosan_only),MW_or_Viscosity(Chitosan),pKa_or_BufferRange,Validated_Process_Stages,Typical_Conc_or_Range,Storage_Conditions,Incompatibilities,Safety_GHS_Notes,Intended_Use,Notes
Core Polymer,Chitosan LMW (free base),Primary polycation for capture,9012-76-4,β-(1→4)-linked D-glucosamine polymer,Sigma-Aldrich,Food/Pharma,448869,,Free base,,≤10,,,90.0,50–200 kDa or viscosity grade,pKa ~6.3 (GlcN ammonium),Bind; Wash,0.01–0.2% w/v,"Dry, sealed; 15–25°C; desiccant",Strong anions (phosphate) during capture; anionic surfactants,Irritant; dust mask,Capture,Specify DDA & viscosity grade on each lot
Core Polymer,Chitosan MMW (acetate salt),Alternative polycation; different rheology,9012-76-4,Chitosan·Acetate,Heppe Medical,Pharma,Custom,,Acetate,,≤10,,,85.0,200–400 kDa,pKa ~6.3,Bind; Wash,0.01–0.15% w/v (as acetate),"Cool, dry; sealed",Polyphosphate; high sulfate,Irritant; dust mask,Capture,Acetate contributes background anion
Acid/Solubilizer,Acetic acid (glacial),Solubilize chitosan; pH control,64-19-7,Ethanoic acid,Merck,Food/ACS,100063,,,≥99.7,,,,,,pKa 4.76; buffer 3.8–5.8,Bind; Wash,0.1–1% v/v,Room temp; ventilated; away from bases,Reactive with strong bases; oxidizers,Corrosive,Solubilize/Buffer,Common baseline acid
Buffer,Sodium acetate,Buffering in binding window,127-09-3,NaOAc,Merck,Food/Pharma,S2889,,,≥99,,,,,,pH 3.8–5.8 with acetic acid,Bind; Wash,10–100 mM,Ambient; dry,None major,Irritant,Buffer,Good baseline buffer
Buffer,Citric acid,Triprotic buffer; chelator; later elution,77-92-9,"2-Hydroxypropane-1,2,3-tricarboxylic acid",Jungbunzlauer,Food/Pharma,CA-FOOD,,,≥99.5,,,,,,pH 3.0–6.2,Bind; Wash; Elute,10–300 mM,Ambient; dry,May weaken complexes at high conc,Irritant,Buffer/Eluant,Doubling as eluant is useful
Buffer,MES,Buffer near pH 5.5–6.5 for edge screens,4432-31-9,2-(N-morpholino)ethanesulfonic acid,Sigma,Biological,M2933,,,≥99,,,,,,Good 6.1; usable 5.5–6.7,Wash (edge),10–50 mM,Ambient; dry,Sulfonate may interact weakly,Low hazard,Buffer,Use for limits testing
Salt,Sodium chloride,Ionic strength modulation,7647-14-5,NaCl,Fisher,Food/Pharma,BP358,,,≥99.5,,,,,,,Bind; Wash; Elute,"0–500 mM (bind), up to 1.5 M (elute)",Ambient; dry,None major,Low hazard,Salt,Baseline screen
Salt,Potassium chloride,Ionic strength modulation,7447-40-7,KCl,Fisher,Food/Pharma,P217,,,≥99,,,,,,,Bind; Wash,0–500 mM,Ambient; dry,None major,Low hazard,Salt,Alternative monovalent
Salt,Magnesium chloride,Multivalent cation; floc compaction/bridging,7786-30-3,MgCl2·6H2O,Sigma,Food/Pharma,M9272,,,≥98,,,,,,,Bind (edge),1–20 mM,Ambient; dry,May lock complexes; impacts downstream membranes,Irritant,Modifier,Use sparingly in DoE
Salt,Ammonium sulfate,Strong salting-out agent,7783-20-2,(NH4)2SO4,Sigma,Bio,A4418,,,≥99.5,,,,,,,Elute (edge),0.5–1.5 M,Ambient; dry,Protein denaturation risk,Irritant,Modifier,Edge-case only
Eluant,Sodium citrate,Competitive elution (polyanion),6132-04-3,Trisodium citrate dihydrate,Merck,Food/Pharma,106448,,,≥99,,,,,,pH 3–6 with citric acid,Elute,50–300 mM,Ambient; dry,Can chelate metals,Low hazard,Eluant,Workhorse release agent
Eluant,Sodium phosphate,Strong competitor; only post-capture,7558-79-4,Na2HPO4 / NaH2PO4,Fisher,Food/Pharma,BP332,,,≥98,,,,,,pH 6–8 typical,Elute (post-capture),25–300 mM,Ambient; dry,Avoid during capture—kills binding,Low hazard,Eluant,Use only to strip
Eluant (strong),Sodium hexametaphosphate,Polyphosphate strip,10124-56-8,"Graham's salt, SHMP",ICL,Food,SHMP-F,,,≥68% P2O5,,,,,,,Elute (strong strip),10–100 mM,Ambient; dry,Irreversible effects; validate,Irritant,Eluant,Powerful; test carefully
pH Adjust,Sodium hydroxide,Neutralization; pH ramp for elution,1310-73-2,NaOH,Fisher,Food/Pharma,S318,,,≥98,,,,,,,Bind; Elute,0.1–2 N,Tightly sealed; CO2-free if possible,Reacts with acids; CO2 uptake,Corrosive,Base,Use standardized solutions
pH Adjust,Hydrochloric acid,Down-titration / solubilization,7647-01-0,HCl,Fisher,Food/Pharma,A144,,,36–38%,,,,,,,Bind; Wash,0.01–1 N,Ventilated storage,Chloride load downstream,Corrosive,Acid,Fast pH control
Stabilizer,L-Arginine HCl,Aggregation suppression post-elution,1119-34-2,Arg·HCl,Ajinomoto,Pharma,AJI-ARGHCl,,,≥99,,,,,,pKa 12.5 (guanidino),Elute; Hold,0.1–0.5 M,Dry; sealed,Raises ionic strength significantly,Low hazard,Excipient,Check UF/DF compatibility
Stabilizer,Trehalose,Stabilizer for drying/formulation,99-20-7,"α,α-Trehalose",Hayashibara,Food/Pharma,TRE-P,,,≥99,,,,,,,Post-elution; Formulation,1–10% w/v,Dry; sealed,May interfere with early binding screens,Low hazard,Excipient,Keep out of capture step
Process Aid,Antifoam (siloxane),Foam control,-,PDMS antifoam,Dow,Food/Pharma,FG-10,,,-,,,,,,,Bind; Wash; Elute,10–200 ppm,Ambient,Membrane fouling risk,Low hazard,Process Aid,Validate filtration impact
CIP/Sanitization,Peracetic acid,Sanitizer (CIP),79-21-0,PAA,Ecolab,Food/Pharma,PAA-15%,,,15% w/w,,,,,,,CIP/SIP,100–300 ppm (as PAA),"Cool, vented; away from metals",Strong oxidizer,Corrosive/Oxidizer,Sanitizer,Rinse thoroughly
Water/Gas,DI/RO Water,Solvent; diluent,-,Purified water,-,Process,-,,,-,,≤10 CFU/100mL,,,,,All stages,—,TOC < 500 ppb; low hardness,Microbial growth if stagnant,Low hazard,Solvent,Specify conductivity/TOC limits
Media: Carbon,D-Glucose (anhydrous),Primary carbon source,50-99-7,Dextrose,Merck,Food/Pharma,108337,,,≥99.5,<=0.2,,,,,,Seed; Batch; Fed,10–40 g/L (batch); 400–800 g/L feed,Dry; desiccated,Caramelization at high temp; Maillard with amino nitrogen,Low hazard,Carbon source,Avoid overheating in autoclave
Media: Carbon,Glycerol,Alternative carbon source / pre-induction,56-81-5,Glycerin,Merck,Food/Pharma,G5516,,,≥99.5,,,,,,,Seed; Batch; Fed,10–40 g/L (batch); 500–800 g/L feed,Ambient; sealed,Viscous; pump calibration needed,Low hazard,Carbon source,Good for low-respiration start-ups
Media: Carbon/Inducer,Lactose monohydrate,Carbon source / inducer (K. lactis),64044-51-5,β-D-Galactopyranosyl-(1→4)-D-glucose·H2O,Sigma,Food/Pharma,L2643,,,≥99,,,,,,,Seed; Batch; Induction,5–30 g/L (batch) or pulse-add,Dry; sealed,Low solubility vs glucose; slower uptake,Low hazard,Carbon/Inducer,Useful for LAC4-based systems
Media: Nitrogen,Ammonium sulfate,Inorganic nitrogen; sulfur source,7783-20-2,(NH4)2SO4,Merck,Food/Pharma,101217,,,≥99.5,,,,,,,Seed; Batch; Fed,2–10 g/L,Dry; sealed,Salting-out at high conc,Irritant,Nitrogen source,Monitors TAN and sulfate load
Media: Nitrogen,Urea,Inorganic nitrogen (slow-release),57-13-6,Carbamide,Sigma,Food/Pharma,U5128,,,≥99.5,,,,,,,Batch; Fed,1–8 g/L,Dry; sealed,pH drift via urease; ammonia release,Low hazard,Nitrogen source,Useful for pH-neutral feeds
Media: Complex N,Yeast extract,Vitamins/peptides/nucleotides,8013-01-2,YE,BD / Himedia,Bio,212750,,,-,≤6,,,,,,Seed; Batch,2–20 g/L,Dry; sealed,Lot variability,Low hazard,Complex nutrient,Define supplier lots in TEA
Media: Complex N,Peptone,Peptide nitrogen,73049-73-7,Tryptone/Casein digest,BD / Himedia,Bio,211705,,,-,≤6,,,,,,Seed; Batch,2–20 g/L,Dry; sealed,Protease activity traces possible,Low hazard,Complex nutrient,Specify animal-free if needed
Media: Phosphorus/Buffer,Monobasic potassium phosphate (KH2PO4),Phosphate & buffer,7778-77-0,Potassium dihydrogen phosphate,Merck,Food/Pharma,104873,,,≥99,,,,,,,Seed; Batch,1–5 g/L,Dry; sealed,Complexes with chitosan—OK in fermenter; keep out of capture step,Low hazard,Phosphorus/Buffer,Media only
Media: Phosphorus/Buffer,Dibasic potassium phosphate (K2HPO4),Phosphate & buffer,7758-11-4,Dipotassium hydrogen phosphate,Merck,Food/Pharma,104877,,,≥99,,,,,,,Seed; Batch,1–5 g/L,Dry; sealed,Same note as KH2PO4,Low hazard,Phosphorus/Buffer,Media only
Media: Salt,Magnesium sulfate heptahydrate,Cofactor Mg2+ source,10034-99-8,MgSO4·7H2O,Merck,Food/Pharma,105886,,,≥99,,,,,,,Seed; Batch,0.5–2 g/L,Dry; sealed,Hard water not additive,Low hazard,Mineral,Essential cofactor
Media: Salt,Calcium chloride dihydrate,Ca2+ for cell wall/enzymes,10035-04-8,CaCl2·2H2O,Merck,Food/Pharma,223506,,,≥99,,,,,,,Seed; Batch,0.05–0.5 g/L,Dry; sealed,Precipitates with phosphate/carbonate,Irritant,Mineral,Add after phosphates if needed
Media: Salt,Sodium sulfate,Sulfur source / ionic strength,7757-82-6,Na2SO4,Merck,Food/Pharma,106649,,,≥99,,,,,,,Seed; Batch,0.5–5 g/L,Dry; sealed,Raises ionic strength,Low hazard,Mineral,Optional
Media: Vitamin,Biotin,Essential vitamin (yeast),58-85-5,Vitamin B7,Sigma,Bio,B4501,,,≥99,,,,,,,Seed; Batch; Fed,0.001–0.1 mg/L,Cool; dark,Light sensitive,Low hazard,Vitamin,Critical for K. lactis
Media: Vitamin,Thiamine HCl,Vitamin B1,67-03-8,Thiamin hydrochloride,Sigma,Bio,T4625,,,≥98,,,,,,,Seed; Batch; Fed,0.1–1 mg/L,Cool; dark,Light/moisture sensitive,Low hazard,Vitamin,Common in yeast media
Media: Trace,Trace Elements Solution,Micronutrient mix (see recipe CSV),-,Fe/Zn/Mn/Cu/Co/Mo/B/I/Se blend,In-house,n/a,TRACE-01,,,-,,,,,,,Seed; Batch; Fed,0.5–2 mL/L (of stock),Ambient; chelated; protected from light,Precipitates with carbonate/phosphate if not chelated,Low hazard,Trace mix,Use chelator (EDTA) if compatible
pH Control/N Source,Ammonia solution (25–30%),pH control + nitrogen,1336-21-6,Aqueous NH3,Merck,Food/Pharma,105432,,,25–30% w/w,,,,,,pKb ~4.75,Seed; Batch; Fed,"As controlled (e.g., 28% feed)",Cool; vented; corrosion-proof,Volatile; strong odor,Corrosive/Alkali,pH control,Tie into TAN balance
